,latest_hosp_beds_per_1000,latest_doctors_per_1000,test_country,GDP_per_capita,SPAR_index,IVDI_score
40,1.6,0.1159,Congo,5662.063411125021,47.15384615384615,0.327330182125
41,1.5,2.0835,Colombia,15012.9302675399,66.38461538461539,0.551052274375
42,2.2,0.1699,Comoros,2913.38730578137,18.923076923076923,0.294973883
43,2.1,0.7694,Cabo Verde,7454.06391681042,45.84615384615385,0.499788674875
44,1.2,1.1497,Costa Rica,17671.0953526733,69.6923076923077,0.667135508375
45,5.2,8.19,Cuba,13536.7948287646,100.0,0.6354912961250001
46,2.40033656029489,1.2722,Netherlands,56328.9411363302,88.61538461538461,0.838806101625
47,4.7,3.5067,Netherlands,56328.9411363302,88.61538461538461,0.838806101625
48,3.0,1.939,Cayman Islands,13536.7948287646,60.463238419039534,
49,3.4,1.9511,Cyprus,13536.7948287646,73.61538461538461,0.705879854
50,6.5,4.314,Czechia,39743.5970941416,66.92307692307692,0.819860572125
51,8.3,4.2087,Germany,53074.5401181641,91.23076923076923,0.876507658
52,1.4,0.2203,Djibouti,13536.7948287646,37.46153846153846,0.36258051462499996
53,3.8,1.0825,Dominica,11129.8611927628,70.23076923076923,0.57749486525
54,2.5,4.4567,Denmark,55671.1652650668,96.38461538461539,0.874741056875
55,1.6,1.56,Dominican Republic,17748.1853186175,47.61538461538461,0.528781448875
56,1.9,1.83,Algeria,15481.7876195754,79.6923076923077,0.522993169375
57,1.5,2.05,Ecuador,11734.3873890471,72.84615384615384,0.567565036375
58,1.6,0.7902,Egypt,12412.3094005832,81.76923076923077,0.5636133084999999
59,0.7,0.0557,Eritrea,13536.7948287646,35.38461538461539,0.28622878799999996
60,3.0,4.0691,Spain,39715.4390594866,84.07692307692308,0.808792308625
61,5.0,3.4651,Estonia,35973.7764604798,73.84615384615384,0.792078823125
62,0.3,0.1,Ethiopia,2022.1379613660501,57.69230769230769,0.388090140375
63,4.4,3.8080000000000003,Finland,48416.93602994,93.84615384615384,0.886837542875
64,2.3,0.8374,Fiji,10879.4784622426,63.30769230769231,0.542440660125
65,6.5,3.2349,France,45342.39573608321,82.0,0.7902426364999999
66,2.40033656029489,1.2722,Faroe Islands,13536.7948287646,60.463238419039534,
67,3.2,0.177,"Micronesia, Federated States of",3553.06145460345,60.463238419039534,0.40385980275
68,6.3,0.3611,Gabon,17875.7611482905,39.69230769230769,0.449771142625
69,2.8,2.8058,United Kingdom,45973.57350441981,93.07692307692308,0.812778326375
70,2.6,5.0976,Georgia,12004.5738332821,66.15384615384616,0.6883576045
71,0.9,0.18,Ghana,4746.68499549277,47.0,0.46247971737499993
72,2.40033656029489,1.2722,Gibraltar,13536.7948287646,60.463238419039534,
73,0.3,0.0788,Guinea,2504.86974463305,55.38461538461539,0.23883904075
74,1.1,0.1077,Gambia,2612.0009950142803,34.61538461538461,0.266857422
75,1.0,0.2,Guinea-Bissau,1799.06789098093,40.23076923076923,0.24379028625
76,2.1,0.4,Equatorial Guinea,22743.8244342202,22.0,0.43731545787500004
77,4.3,4.592,Greece,29592.152419616697,60.463238419039534,0.72076002225
78,3.7,1.4471,Grenada,15557.545036526399,60.463238419039534,0.5829583475
79,14.353400230407699,1.135,Greenland,13536.7948287646,60.463238419039534,
80,0.6,0.355,Guatemala,8462.37400812193,61.53846153846154,0.502692892875
81,2.40033656029489,1.084,Guam,13536.7948287646,60.463238419039534,
82,1.6,0.799,Guyana,8640.737370162109,60.463238419039534,0.5431870008749999
83,4.8909001350402805,1.319,Hong Kong,64596.56385236981,60.463238419039534,
84,0.7,0.3144,Honduras,5138.75245733876,34.38461538461539,0.453301136125
85,5.6,2.9962,Croatia,27579.780832738197,73.15384615384616,0.7040554465
86,0.7,0.2345,Haiti,1866.6175890411398,38.53846153846154,0.261171289375
87,7.0,3.2312,Hungary,31102.5027541193,67.46153846153847,0.7608467125
88,1.2,0.3777,Indonesia,13079.619296593999,62.76923076923077,0.501385821625
89,1.58427938375929,1.449,Isle of Man,13536.7948287646,60.463238419039534,
90,0.7,0.7776,India,7762.88176956734,75.15384615384616,0.481315162375
91,2.40033656029489,1.2722,Others,13536.7948287646,60.463238419039534,
92,2.8,3.0861,Ireland,83203.3946770927,67.46153846153847,0.85482277825
93,1.5,1.14,"Iran, Islamic Republic of",13536.7948287646,84.61538461538461,0.5428442375
94,1.4,0.8217,Iraq,17435.8539331446,81.76923076923077,0.443522139375
95,3.2,3.9701,Iceland,57303.060783165,83.61538461538461,0.8404369975
96,3.1,3.2176,Israel,39919.1696489174,91.0,0.70456629925
97,3.4,4.0931,Italy,41830.426327644396,84.61538461538461,0.7932674398749999
98,1.7,1.3199,Jamaica,9326.66405867008,76.38461538461539,0.5062605185
99,1.4,2.3436,Jordan,9478.90458750285,48.0,0.656244177875
100,13.4,2.4118,Japan,42797.4585169914,60.463238419039534,0.794165089
101,6.7,3.2522,Kazakhstan,27879.751946289598,71.07692307692308,0.665842826
102,1.4,0.1988,Kenya,3467.5564783082104,34.53846153846154,0.41848540487499997
103,4.5,1.876,Kyrgyzstan,3884.7088092250606,56.84615384615385,0.552572983375
104,0.8,0.1682,Cambodia,4360.85440445566,45.61538461538461,0.37804787424999997
105,1.9,0.2028,Kiribati,2293.92033296962,50.69230769230769,0.412613947
106,2.3,2.523,Saint Kitts and Nevis,30207.7902129967,47.76923076923077,0.67567035075
107,11.5,2.3661,"Korea, Republic of",13536.7948287646,60.463238419039534,0.753497969375
108,2.0,2.5789,Kuwait,72897.562345371,55.61538461538461,0.6684143600000001
109,1.5,0.4997,Lao People's Democratic Republic,7439.5993595197,34.92307692307692,0.368312832375
110,2.9,2.271,Lebanon,13081.1074629124,58.23076923076923,0.5877108332500001
111,0.8,0.0373,Liberia,1308.62953596446,46.46153846153846,0.25831820075
112,3.7,2.1581,Libya,20764.1641363784,40.53846153846154,0.5489561817499999
113,1.3,0.1053,Saint Lucia,13881.3721333448,59.84615384615385,0.574254298125
114,2.40033656029489,1.2722,Liechtenstein,13536.7948287646,60.463238419039534,0.755956177375
115,3.6,0.958,Sri Lanka,13473.6630942698,45.61538461538461,0.546700022125
116,1.3,0.0676,Lesotho,3219.45715691253,32.76923076923077,0.390942034
117,7.3,4.337,Lithuania,35461.3590993235,81.53846153846153,0.783059759375
118,4.8,3.0266,Luxembourg,113337.42049470301,75.92307692307692,0.8198294450000001
119,5.8,3.1946,Latvia,30304.852496882002,74.61538461538461,0.770549713125
120,5.2953000068664595,1.5619999999999998,Macao,123892.166434539,60.463238419039534,
121,2.40033656029489,1.2722,Saint Martin (French part),13536.7948287646,60.463238419039534,
122,1.1,0.7273,Morocco,8586.638700232399,74.92307692307692,0.526198299625
123,13.8,6.5617,Monaco,13536.7948287646,81.53846153846153,0.7476166666249999
124,5.8,3.2002,"Moldova, Republic of",7271.641918792809,59.69230769230769,0.6385120416250001
