,1/10/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,12/08/19,12/11/19,12/12/19,12/15/19,12/17/19,12/18/19,12/19/19,12/20/19,12/21/19,12/22/19,12/23/19,12/24/19,12/25/19,12/26/19,12/27/19,12/28/29,12/29/19,12/30/19,12/31/19,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/2/20,3/3/20,3/4/20,Lat,Long,Province/State,country,lat_long
26,0,4.0,4.0,8.0,10.0,14.0,23.0,24.0,27.0,31.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,95.0,106.0,112.0,119.0,120.0,122.0,124.0,125.0,128.0,130.0,48.0,131.0,132.0,135.0,135.0,135.0,135.0,135.0,136.0,136.0,136.0,60.0,67.0,69.0,79.0,81.0,88.0,91.0,136.0,136.0,136.0,136.0,39.3054,117.323,Tianjin,China,"39.3054,117.323"
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.6927,88.0924,Tibet,China,"31.6927,88.0924"
28,1,0.0,2.0,2.0,3.0,4.0,5.0,10.0,13.0,14.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,49.0,55.0,59.0,63.0,65.0,70.0,71.0,75.0,76.0,76.0,21.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,24.0,29.0,32.0,36.0,39.0,42.0,45.0,76.0,76.0,76.0,76.0,41.1129,85.2401,Xinjiang,China,"41.1129,85.2401"
29,0,1.0,2.0,5.0,11.0,16.0,26.0,44.0,55.0,70.0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,149.0,153.0,154.0,156.0,162.0,168.0,171.0,171.0,172.0,172.0,105.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,117.0,122.0,128.0,133.0,138.0,138.0,141.0,174.0,174.0,174.0,174.0,24.974,101.487,Yunnan,China,"24.974,101.48700000000001"
30,1,10.0,27.0,43.0,62.0,104.0,128.0,173.0,296.0,428.0,538.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.0,1092.0,1117.0,1131.0,1145.0,1155.0,1162.0,1167.0,1171.0,1172.0,1174.0,661.0,1175.0,1203.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0,1205.0,724.0,829.0,895.0,954.0,1006.0,1048.0,1075.0,1205.0,1206.0,1213.0,1213.0,29.1832,120.0934,Zhejiang,China,"29.1832,120.0934"
31,0,2.0,3.0,5.0,7.0,8.0,8.0,14.0,14.0,14.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,32.0,33.0,33.0,33.0,33.0,33.0,34.0,35.0,35.0,35.0,19.0,35.0,35.0,35.0,35.0,35.0,37.0,40.0,40.0,41.0,42.0,19.0,25.0,25.0,25.0,25.0,32.0,32.0,42.0,43.0,43.0,43.0,15.0,101.0,0,Thailand,"15.0,101.0"
32,0,2.0,1.0,2.0,2.0,4.0,4.0,7.0,7.0,11.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,26.0,26.0,28.0,28.0,29.0,43.0,59.0,66.0,74.0,84.0,20.0,94.0,105.0,122.0,147.0,159.0,170.0,189.0,214.0,228.0,241.0,20.0,22.0,22.0,45.0,25.0,25.0,26.0,256.0,274.0,293.0,331.0,36.0,138.0,0,Japan,"36.0,138.0"
33,0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,27.0,28.0,28.0,28.0,28.0,28.0,29.0,30.0,31.0,31.0,15.0,104.0,204.0,433.0,602.0,833.0,977.0,1261.0,1766.0,2337.0,3150.0,15.0,16.0,19.0,23.0,24.0,24.0,25.0,3736.0,4335.0,5186.0,5621.0,36.0,128.0,0,"Korea, Democratic People's Republic of","36.0,128.0"
34,0,1.0,1.0,3.0,3.0,4.0,5.0,8.0,8.0,9.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,22.0,22.0,23.0,10.0,24.0,26.0,26.0,28.0,30.0,31.0,32.0,32.0,34.0,39.0,10.0,11.0,11.0,16.0,16.0,17.0,18.0,40.0,41.0,42.0,42.0,23.7,121.0,Taiwan,"Taiwan, Province of China","23.7,121.0"
35,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,14.0,21.0,31.0,47.6062,-122.3321,"King County, WA",United States,"47.6062,-122.3321"
36,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,41.7377,-87.6976,"Cook County, IL",United States,"41.7377,-87.6976"
37,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.4255,-111.94,"Tempe, AZ",United States,"33.4255,-111.94"
38,0,1.0,2.0,2.0,2.0,5.0,6.0,7.0,7.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,22.1667,113.55,Macau,Macao,"22.1667,113.55"
39,0,0.0,2.0,2.0,5.0,8.0,8.0,8.0,10.0,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,38.0,49.0,50.0,53.0,56.0,56.0,57.0,60.0,62.0,63.0,15.0,68.0,68.0,69.0,74.0,79.0,84.0,91.0,92.0,94.0,95.0,15.0,17.0,21.0,24.0,25.0,26.0,29.0,96.0,100.0,100.0,105.0,22.3,114.2,Hong Kong,Hong Kong,"22.3,114.2"
40,0,0.0,1.0,3.0,3.0,4.0,5.0,7.0,7.0,10.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,45.0,47.0,50.0,58.0,67.0,72.0,75.0,77.0,81.0,84.0,18.0,84.0,85.0,85.0,89.0,89.0,91.0,93.0,93.0,93.0,102.0,18.0,24.0,28.0,28.0,30.0,33.0,40.0,106.0,108.0,110.0,110.0,1.2833,103.8333,0,Singapore,"1.2833,103.8333"
41,0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,14.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,6.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,10.0,10.0,13.0,13.0,16.0,16.0,16.0,16.0,16.0,108.0,0,Viet Nam,"16.0,108.0"
42,0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,6.0,12.0,12.0,12.0,12.0,12.0,14.0,18.0,38.0,57.0,100.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,130.0,191.0,204.0,285.0,47.0,2.0,0,France,"47.0,2.0"
